,File type,Extension,Timestamp of creation in D1,New creation time in D1 copyTimestamp of last modification,Original file path,New path after copying
14,HTML15,.htm,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML15.htm,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML15.htm
15,HTML16,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML16.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML16.xhtml
16,HTML17,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML17.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML17.xhtml
17,HTML18,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML18.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML18.xhtml
18,HTML19,.html,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML19.html,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML19.html
19,HTML20,.html,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML20.html,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML20.html
20,HTML21,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML21.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML21.xhtml
21,HTML22,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML22.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML22.xhtml
22,HTML23,.htm,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML23.htm,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML23.htm
23,HTML24,.xhtml,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML24.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML24.xhtml
24,HTML25,.html5,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML25.html5,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML25.html5
25,HTML26,.html5,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML26.html5,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML26.html5
26,HTML27,.xhtml,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML27.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML27.xhtml
27,HTML28,.xhtml,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML28.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML28.xhtml
28,HTML29,.htm,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML29.htm,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML29.htm
29,HTML30,.xhtml,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML30.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML30.xhtml
30,PYTHON1,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON1.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON1.py
31,PYTHON2,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON2.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON2.py
32,PYTHON3,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON3.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON3.py
33,PYTHON4,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON4.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON4.py
34,PYTHON5,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON5.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON5.py
35,PYTHON6,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON6.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON6.py
36,PYTHON7,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON7.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON7.py
37,PYTHON8,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON8.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON8.py
38,PYTHON9,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON9.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON9.py
39,PYTHON10,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON10.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON10.py
40,PYTHON11,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON11.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON11.py
41,PYTHON12,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON12.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON12.py
42,PYTHON13,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON13.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON13.py
43,PYTHON14,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON14.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON14.py
44,PYTHON15,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON15.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON15.py
45,PYTHON16,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON16.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON16.py
46,PYTHON17,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON17.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON17.py
47,PYTHON18,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON18.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON18.py
48,PYTHON19,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON19.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON19.py
49,PYTHON20,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON20.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON20.py
50,PYTHON21,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON21.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON21.py
51,PYTHON22,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON22.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON22.py
52,PYTHON23,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON23.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON23.py
53,PYTHON24,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON24.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON24.py
54,PYTHON25,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON25.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON25.py
55,PYTHON26,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON26.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON26.py
56,PYTHON27,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON27.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON27.py
57,PYTHON28,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON28.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON28.py
58,PYTHON29,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON29.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON29.py
59,PYTHON30,.py,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\PYTHON30.py,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\PYTHON\PYTHON30.py
60,DOCUMENTS1,.rvg,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS1.rvg,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS1.rvg
61,DOCUMENTS2,.xps,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS2.xps,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS2.xps
62,DOCUMENTS3,.xsn,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS3.xsn,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS3.xsn
63,DOCUMENTS4,.pwi,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS4.pwi,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS4.pwi
64,DOCUMENTS5,.docx,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS5.docx,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS5.docx
65,DOCUMENTS6,.rvg,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS6.rvg,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS6.rvg
66,DOCUMENTS7,.rtfd,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS7.rtfd,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS7.rtfd
67,DOCUMENTS8,.dox,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS8.dox,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS8.dox
68,DOCUMENTS9,.xsn,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS9.xsn,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS9.xsn
69,DOCUMENTS10,.dotx,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS10.dotx,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS10.dotx
70,DOCUMENTS11,.fdf,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS11.fdf,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS11.fdf
71,DOCUMENTS12,.xlsx,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS12.xlsx,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS12.xlsx
72,DOCUMENTS13,.ods,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS13.ods,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS13.ods
73,DOCUMENTS14,.oxps,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS14.oxps,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS14.oxps
74,DOCUMENTS15,.odt,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS15.odt,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS15.odt
75,DOCUMENTS16,.rtfd,Wed Jul 29 21:07:53 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\DOCUMENTS16.rtfd,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\DOCUMENTS\DOCUMENTS16.rtfd
